"SampleID";"PlantID";"Management";"Medium";"Organ";"FungalClass";"Count"
"Wild_Natural_Leaf_P5";"P5";"Wild";"Natural";"Leaf";"Sordariomycetes";0
"Wild_Natural_Leaf_P1";"P1";"Wild";"Natural";"Leaf";"Eurotiomycetes";0
"Wild_Natural_Leaf_P2";"P2";"Wild";"Natural";"Leaf";"Eurotiomycetes";0
"Wild_Natural_Leaf_P3";"P3";"Wild";"Natural";"Leaf";"Eurotiomycetes";0
"Wild_Natural_Leaf_P4";"P4";"Wild";"Natural";"Leaf";"Eurotiomycetes";0
"Wild_Natural_Leaf_P5";"P5";"Wild";"Natural";"Leaf";"Eurotiomycetes";1
"Wild_Commercial_Soil_P1";"P1";"Wild";"Commercial";"Soil";"Dothideomycetes";1
"Wild_Commercial_Soil_P2";"P2";"Wild";"Commercial";"Soil";"Dothideomycetes";4
"Wild_Commercial_Soil_P3";"P3";"Wild";"Commercial";"Soil";"Dothideomycetes";3
"Wild_Commercial_Soil_P4";"P4";"Wild";"Commercial";"Soil";"Dothideomycetes";5
"Wild_Commercial_Soil_P5";"P5";"Wild";"Commercial";"Soil";"Dothideomycetes";4
"Wild_Natural_Soil_P1";"P1";"Wild";"Natural";"Soil";"Dothideomycetes";0
"Wild_Natural_Soil_P2";"P2";"Wild";"Natural";"Soil";"Dothideomycetes";1
"Wild_Natural_Soil_P3";"P3";"Wild";"Natural";"Soil";"Dothideomycetes";1
"Wild_Natural_Soil_P4";"P4";"Wild";"Natural";"Soil";"Dothideomycetes";1
"Wild_Natural_Soil_P5";"P5";"Wild";"Natural";"Soil";"Dothideomycetes";0
"Wild_Commercial_Soil_P1";"P1";"Wild";"Commercial";"Soil";"Eurotiomycetes";1
"Wild_Commercial_Soil_P2";"P2";"Wild";"Commercial";"Soil";"Eurotiomycetes";2
"Wild_Commercial_Soil_P3";"P3";"Wild";"Commercial";"Soil";"Eurotiomycetes";1
"Wild_Commercial_Soil_P4";"P4";"Wild";"Commercial";"Soil";"Eurotiomycetes";3
"Wild_Commercial_Soil_P5";"P5";"Wild";"Commercial";"Soil";"Eurotiomycetes";3
"Wild_Natural_Soil_P1";"P1";"Wild";"Natural";"Soil";"Eurotiomycetes";1
"Wild_Natural_Soil_P2";"P2";"Wild";"Natural";"Soil";"Eurotiomycetes";1
"Wild_Natural_Soil_P3";"P3";"Wild";"Natural";"Soil";"Eurotiomycetes";1
"Wild_Natural_Soil_P4";"P4";"Wild";"Natural";"Soil";"Eurotiomycetes";2
"Wild_Natural_Soil_P5";"P5";"Wild";"Natural";"Soil";"Eurotiomycetes";2
"Wild_Commercial_Soil_P1";"P1";"Wild";"Commercial";"Soil";"Leotiomycetes";0
"Wild_Commercial_Soil_P2";"P2";"Wild";"Commercial";"Soil";"Leotiomycetes";0
"Wild_Commercial_Soil_P3";"P3";"Wild";"Commercial";"Soil";"Leotiomycetes";0
"Wild_Commercial_Soil_P4";"P4";"Wild";"Commercial";"Soil";"Leotiomycetes";1
"Wild_Commercial_Soil_P5";"P5";"Wild";"Commercial";"Soil";"Leotiomycetes";0
"Wild_Natural_Soil_P1";"P1";"Wild";"Natural";"Soil";"Sordariomycetes";0
"Wild_Natural_Soil_P2";"P2";"Wild";"Natural";"Soil";"Sordariomycetes";1
"Wild_Natural_Soil_P3";"P3";"Wild";"Natural";"Soil";"Sordariomycetes";0
"Wild_Natural_Soil_P4";"P4";"Wild";"Natural";"Soil";"Sordariomycetes";1
"Wild_Natural_Soil_P5";"P5";"Wild";"Natural";"Soil";"Sordariomycetes";1
